en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
aasim,,阿西姆,,"['a1', 'xi1', 'mu3']",,nr,"['a1', 'xi1', 'mu3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'the West', 'woman who looks after small children']","['a1', 'xi1', 'mu3']"
muslim,,穆斯林,,"['mu4', 'si1', 'lin2']",['Muslim'],nz,['mu4 si1 lin2'],['Muslim'],"['mu4', 'si1', 'lin2']"
haashim,,哈希姆,,"['ha1', 'xi1', 'mu3']",,nr,"['ha1', 'xi1', 'mu3']","['(interj.) ha!', 'to hope', 'woman who looks after small children']","['ha1', 'xi1', 'mu3']"
muhammad,,穆罕默德,,"['mu4', 'han3', 'mo4', 'de2']","['Mohammed (c. 570-632), central figure of Islam and prophet of God']",nr,['mu4 han3 mo4 de2'],"['Mohammed (c. 570-632), central figure of Islam and prophet of God']","['mu4', 'han3', 'mo4', 'de2']"
najeeb,,纳吉布,,"['na4', 'ji2', 'bu4']","['Muhammad Naguib (1901-1984), first president of the Republic of Egypt']",nr,['na4 ji2 bu4'],"['Muhammad Naguib (1901-1984), first president of the Republic of Egypt']","['na4', 'ji2', 'bu4']"
shareef,,Shareef,,"['S', 'h', 'a', 'r', 'e', 'e', 'f']",,nr,"['S', 'h', 'a', 'r', 'e', 'e', 'f']","[None, None, None, None, None, None, None]",['Shareef']
nawar,,纳瓦尔,,"['na4', 'wa3', 'er3']",,nr,"['na4', 'wa3', 'er3']","['surname Na', 'roof tile', 'thus']","['na4', 'wa3', 'er3']"
noor,,noor,,"['n', 'o', 'o', 'r']",,nr,"['n', 'o', 'o', 'r']","[None, None, None, None]",['noor']
usaamah,,USAAMAH,,"['U', 'S', 'A', 'A', 'M', 'A', 'H']",,nr,"['U', 'S', 'a', 'a', 'M', 'a', 'H']","[None, None, '(slang) (Tw) to steal', '(slang) (Tw) to steal', None, '(slang) (Tw) to steal', None]",['USaaMaH']
nooh,,瞧,,['qiao2'],"['to look at', 'to see', 'to see (a doctor)', 'to visit']",v,['qiao2'],['to look at'],['qiao2']
muhsin,,muhsin,,"['m', 'u', 'h', 's', 'i', 'n']",,nr,"['m', 'u', 'h', 's', 'i', 'n']","[None, None, None, None, None, None]",['muhsin']
imaad,,伊玛德,,"['yi1', 'ma3', 'de2']",,nr,"['yi1', 'ma3', 'de2']","['surname Yi', 'agate', 'Germany']","['yi1', 'ma3', 'de2']"
zahrah,,Zahrah,,"['Z', 'a', 'h', 'r', 'a', 'h']",,nr,"['Z', 'a', 'h', 'r', 'a', 'h']","[None, None, None, None, None, None]",['Zahrah']
anwaar,,安瓦尔,,"['an1', 'wa3', 'er3']","['Anwar (name)', 'Anwar bin Ibrahim (1947-), Malaysian politician, deputy prime minister 1993-1998, imprisoned 1999-2004 on charges including alleged homosexual acts, subsequently overturned']",nr,['an1 wa3 er3'],['Anwar (name)'],"['an1', 'wa3', 'er3']"
amjad,,Amjad,,"['A', 'm', 'j', 'a', 'd']",,nr,"['a', 'm', 'j', 'a', 'd']","['(slang) (Tw) to steal', None, None, None, None]",['amjad']
umair,,Umair,,"['U', 'm', 'a', 'i', 'r']",,nr,"['U', 'm', 'a', 'i', 'r']","[None, None, None, None, None]",['Umair']
anees,,贪婪,,"['tan1', 'lan2']","['avaricious', 'greedy', 'rapacious', 'insatiable', 'avid']",l,['tan1 lan2'],['avaricious'],"['tan1', 'lan2']"
aadil,,Aadil,,"['A', 'a', 'd', 'i', 'l']",,nr,"['a', 'a', 'd', 'i', 'l']","['(slang) (Tw) to steal', None, None, None, None]",['aadil']
faisal,,faisal,,"['f', 'a', 'i', 's', 'a', 'l']",,nr,"['f', 'a', 'i', 's', 'a', 'l']","[None, None, None, None, None, None]",['faisal']
zaheer,,Zaheer,,"['Z', 'a', 'h', 'e', 'e', 'r']",,nr,"['Z', 'a', 'h', 'e', 'e', 'r']","[None, None, None, None, None, None]",['Zaheer']
naeema,,Naeema,,"['N', 'a', 'e', 'e', 'm', 'a']",,nr,"['N', 'a', 'e', 'e', 'm', 'a']","[None, None, None, None, None, None]",['Naeema']
waleed,,waleed,,"['w', 'a', 'l', 'e', 'e', 'd']",,nr,"['w', 'a', 'l', 'e', 'e', 'd']","[None, None, None, None, None, None]",['waleed']
batool,,batool,,"['b', 'a', 't', 'o', 'o', 'l']",,nr,"['b', 'a', 't', 'o', 'o', 'l']","[None, None, None, None, None, None]",['batool']
wajeeh,,wajeeh,,"['w', 'a', 'j', 'e', 'e', 'h']",,nr,"['w', 'a', 'j', 'e', 'e', 'h']","[None, None, None, None, None, None]",['wajeeh']
hafsa,,哈夫萨,,"['ha1', 'fu1', 'sa4']",,nr,"['ha1', 'fu1', 'sa4']","['(interj.) ha!', 'husband', 'Bodhisattva']","['ha1', 'fu1', 'sa4']"
ashraf,,Ashraf,,"['A', 's', 'h', 'r', 'a', 'f']",,nr,"['a', 's', 'h', 'r', 'a', 'f']","['(slang) (Tw) to steal', None, None, None, None, None]",['ashraf']
anas,,阿纳斯,,"['a1', 'na4', 'si1']",,nr,"['a1', 'na4', 'si1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Na', 'Slovakia']","['a1', 'na4', 'si1']"
sabeeh,,Sabeeh,,"['S', 'a', 'b', 'e', 'e', 'h']",,nr,"['S', 'a', 'b', 'e', 'e', 'h']","[None, None, None, None, None, None]",['Sabeeh']
tawfeeq,,tawfeeq,,"['t', 'a', 'w', 'f', 'e', 'e', 'q']",,nr,"['t', 'a', 'w', 'f', 'e', 'e', 'q']","[None, None, None, None, None, None, None]",['tawfeeq']
sameer,,Sameer,,"['S', 'a', 'm', 'e', 'e', 'r']",,nr,"['S', 'a', 'm', 'e', 'e', 'r']","[None, None, None, None, None, None]",['Sameer']
naseem,,纳西姆,,"['na4', 'xi1', 'mu3']",,nz,"['na4', 'xi1', 'mu3']","['surname Na', 'the West', 'woman who looks after small children']","['na4', 'xi1', 'mu3']"
saleem,,Saleem,,"['S', 'a', 'l', 'e', 'e', 'm']",,nr,"['S', 'a', 'l', 'e', 'e', 'm']","[None, None, None, None, None, None]",['Saleem']
nadeem,,纳德姆,,"['na4', 'de2', 'mu3']",,nr,"['na4', 'de2', 'mu3']","['surname Na', 'Germany', 'woman who looks after small children']","['na4', 'de2', 'mu3']"
faqirah,,faqirah,,"['f', 'a', 'q', 'i', 'r', 'a', 'h']",,nr,"['f', 'a', 'q', 'i', 'r', 'a', 'h']","[None, None, None, None, None, None, None]",['faqirah']
lu'ay,,卢,,['lu2'],"['(old) rice vessel', 'black', 'old variant of 廬|庐[lu2]', '(slang) (Tw) troublesome', 'fussy']",nr,['lu2'],['surname Lu'],['lu2']
almas,,阿尔马斯,,"['a1', 'er3', 'ma3', 'si1']",,nr,"['a1', 'er3', 'ma3', 'si1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'thus', 'surname Ma', 'Slovakia']","['a1', 'er3', 'ma3', 'si1']"
najwa,,纳吉,,"['na4', 'ji2']",,nr,"['na4', 'ji2']","['surname Na', 'surname Ji']","['na4', 'ji2']"
najmah,,纳吉玛,,"['na4', 'ji2', 'ma3']",,nr,"['na4', 'ji2', 'ma3']","['surname Na', 'surname Ji', 'agate']","['na4', 'ji2', 'ma3']"
alia,,阿里亚,,"['a1', 'li3', 'ya4']",,nr,"['a1', 'li3', 'ya4']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'lining', 'Asia']","['a1', 'li3', 'ya4']"
luqmaan,,卢克曼,,"['lu2', 'ke4', 'man4']",,nr,"['lu2', 'ke4', 'man4']","['surname Lu', 'to be able to', 'handsome']","['lu2', 'ke4', 'man4']"
rashad,,拉沙德,,"['la1', 'sha1', 'de2']",,nr,"['la1', 'sha1', 'de2']","['to pull', 'surname Sha', 'Germany']","['la1', 'sha1', 'de2']"
ali,,阿里,,"['a1', 'li3']","['Ali (proper name)', 'Imam Ali ibn Abu Talib (c. 600-661), cousin, aid and son-in-law of the Prophet Mohammed 穆罕默德, the fourth Caliph 哈里發|哈里发 of Islam, reigned 656-661, and the first Imam 伊瑪目|伊玛目 of Shia Islam', ""Ngari prefecture in Tibet, Tibetan: Mnga' ris""]",nr,['a1 li3'],['Ali (proper name)'],"['a1', 'li3']"
ubaydullah,,Ubaydullah,,"['U', 'b', 'a', 'y', 'd', 'u', 'l', 'l', 'a', 'h']",,nr,"['U', 'b', 'a', 'y', 'd', 'u', 'l', 'l', 'a', 'h']","[None, None, None, None, None, None, None, None, None, None]",['Ubaydullah']
rasha,,拉沙,,"['la1', 'sha1']",,nr,"['la1', 'sha1']","['to pull', 'surname Sha']","['la1', 'sha1']"
ubayd,,Ubayd,,"['U', 'b', 'a', 'y', 'd']",,nr,"['U', 'b', 'a', 'y', 'd']","[None, None, None, None, None]",['Ubayd']
ubadah,,乌巴达,,"['wu1', 'ba1', 'da2']",,nr,"['wu1', 'ba1', 'da2']","['surname Wu', 'Ba state during Zhou dynasty (in east of modern Sichuan)', 'surname Da']","['wu1', 'ba1', 'da2']"
ubaid,,ubaid,,"['u', 'b', 'a', 'i', 'd']",,nr,"['u', 'b', 'a', 'i', 'd']","[None, None, None, None, None]",['ubaid']
ubay,,Ubay,,"['U', 'b', 'a', 'y']",,nr,"['U', 'b', 'a', 'y']","[None, None, None, None]",['Ubay']
ubaidah,,乌贝达,,"['wu1', 'bei4', 'da2']",,nr,"['wu1', 'bei4', 'da2']","['surname Wu', 'surname Bei', 'surname Da']","['wu1', 'bei4', 'da2']"
idrees,,idrees,,"['i', 'd', 'r', 'e', 'e', 's']",,nr,"['i', 'd', 'r', 'e', 'e', 's']","[None, None, None, None, None, None]",['idrees']
najla,,纳吉拉,,"['na4', 'ji2', 'la1']",,nr,"['na4', 'ji2', 'la1']","['surname Na', 'surname Ji', 'to pull']","['na4', 'ji2', 'la1']"
amatullah,,阿马图拉,,"['a1', 'ma3', 'tu2', 'la1']",,nr,"['a1', 'ma3', 'tu2', 'la1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Ma', 'diagram', 'to pull']","['a1', 'ma3', 'tu2', 'la1']"
falisha,,法里莎,,"['fa3', 'li3', 'sha1']",,nr,"['fa3', 'li3', 'sha1']","['France', 'lining', 'katydid (family Tettigoniidae)']","['fa3', 'li3', 'sha1']"
thaqib,,Thaqib,,"['T', 'h', 'a', 'q', 'i', 'b']",,nr,"['t', 'h', 'a', 'q', 'i', 'b']","['(slang) butch (lesbian stereotype)', None, None, None, None, None]",['thaqib']
lama,,喇嘛,,"['la3', 'ma5']","['lama, spiritual teacher in Tibetan Buddhism']",n,['la3 ma5'],"['lama, spiritual teacher in Tibetan Buddhism']","['la3', 'ma5']"
lamees,,la脚,,"['l', 'a', 'jiao3']",,n,"['l', 'a', 'jiao3']","[None, None, 'foot']","['la', 'jiao3']"
amr,,AMR,,"['A', 'M', 'R']",,nr,"['a', 'M', 'R']","['(slang) (Tw) to steal', None, None]",['aMR']
ikraam,,ikraam,,"['i', 'k', 'r', 'a', 'a', 'm']",,nr,"['i', 'k', 'r', 'a', 'a', 'm']","[None, None, None, None, None, None]",['ikraam']
faiza,,Faiza,,"['F', 'a', 'i', 'z', 'a']",,nr,"['F', 'a', 'i', 'z', 'a']","[None, None, None, None, None]",['Faiza']
ammar,,Ammar,,"['A', 'm', 'm', 'a', 'r']",,nr,"['a', 'm', 'm', 'a', 'r']","['(slang) (Tw) to steal', None, None, None, None]",['ammar']
lamya,,拉米,,"['la1', 'mi3']",,nr,"['la1', 'mi3']","['to pull', 'surname Mi']","['la1', 'mi3']"
naseerah,,纳塞拉,,"['na4', 'sai1', 'la1']",,nr,"['na4', 'sai1', 'la1']","['surname Na', 'Serbia', 'to pull']","['na4', 'sai4', 'la1']"
amir,,阿米尔,,"['a1', 'mi3', 'er3']",,nr,"['a1', 'mi3', 'er3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Mi', 'thus']","['a1', 'mi3', 'er3']"
naseer,,Naseer,,"['N', 'a', 's', 'e', 'e', 'r']",,nr,"['N', 'a', 's', 'e', 'e', 'r']","[None, None, None, None, None, None]",['Naseer']
naseemah,,纳西玛,,"['na4', 'xi1', 'ma3']",,nz,"['na4', 'xi1', 'ma3']","['surname Na', 'the West', 'agate']","['na4', 'xi1', 'ma3']"
lateef,,Lateef,,"['L', 'a', 't', 'e', 'e', 'f']",,nr,"['L', 'a', 't', 'e', 'e', 'f']","[None, None, None, None, None, None]",['Lateef']
ameera,,ameera,,"['a', 'm', 'e', 'e', 'r', 'a']",,nr,"['a', 'm', 'e', 'e', 'r', 'a']","[None, None, None, None, None, None]",['ameera']
amaan,,阿曼,,"['a1', 'man4']",['Oman'],nr,['a1 man4'],['Oman'],"['a1', 'man4']"
ameenah,,阿玛,,"['a1', 'ma3']",,nr,"['a1', 'ma3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'agate']","['a1', 'ma3']"
ameen,,阿恩,,"['a1', 'en1']",,nr,"['a1', 'en1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'favor']","['a1', 'en1']"
tharwat,,Tharwat,,"['T', 'h', 'a', 'r', 'w', 'a', 't']",,nr,"['t', 'h', 'a', 'r', 'w', 'a', 't']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None]",['tharwat']
fakhr,,fakhr,,"['f', 'a', 'k', 'h', 'r']",,nr,"['f', 'a', 'k', 'h', 'r']","[None, None, None, None, None]",['fakhr']
ihsaan,,ihsaan,,"['i', 'h', 's', 'a', 'a', 'n']",,nr,"['i', 'h', 's', 'a', 'a', 'n']","[None, None, None, None, None, None]",['ihsaan']
amani,,阿曼尼,,"['a1', 'man4', 'ni2']",,nr,"['a1', 'man4', 'ni2']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'handsome', 'Buddhist nun']","['a1', 'man4', 'ni2']"
leena,,莱娜,,"['lai2', 'nuo2']",,nr,"['lai2', 'na4']","['name of weed plant (fat hen, goosefoot, pigweed etc)', '(phonetic na)']","['lai2', 'na4']"
leila,,莱拉,,"['lai2', 'la1']",,nr,"['lai2', 'la1']","['name of weed plant (fat hen, goosefoot, pigweed etc)', 'to pull']","['lai2', 'la1']"
rana,,拉娜,,"['la1', 'nuo2']",,nr,"['la1', 'na4']","['to pull', '(phonetic na)']","['la1', 'na4']"
iffat,,iffat,,"['i', 'f', 'f', 'a', 't']",,nr,"['i', 'f', 'f', 'a', 't']","[None, None, None, None, None]",['iffat']
shabbeer,,shabbeer,,"['s', 'h', 'a', 'b', 'b', 'e', 'e', 'r']",,nr,"['s', 'h', 'a', 'b', 'b', 'e', 'e', 'r']","[None, None, None, None, None, None, None, None]",['shabbeer']
amal,,阿马尔,,"['a1', 'ma3', 'er3']",,nr,"['a1', 'ma3', 'er3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Ma', 'thus']","['a1', 'ma3', 'er3']"
uhban,,乌班,,"['wu1', 'ban1']",,nr,"['wu1', 'ban1']","['surname Wu', 'surname Ban']","['wu1', 'ban1']"
fareeha,,法雷哈,,"['fa3', 'lei2', 'ha1']",,nr,"['fa3', 'lei2', 'ha1']","['France', 'surname Lei', '(interj.) ha!']","['fa3', 'lei2', 'ha1']"
rasheed,,拉希德,,"['la1', 'xi1', 'de2']",,nr,"['la1', 'xi1', 'de2']","['to pull', 'to hope', 'Germany']","['la1', 'xi1', 'de2']"
uthman,,乌斯曼,,"['wu1', 'si1', 'man4']",,nr,"['wu1', 'si1', 'man4']","['surname Wu', 'Slovakia', 'handsome']","['wu1', 'si1', 'man4']"
uwais,,Uwais,,"['U', 'w', 'a', 'i', 's']",,nr,"['U', 'w', 'a', 'i', 's']","[None, None, None, None, None]",['Uwais']
uwayam,,Uwayam,,"['U', 'w', 'a', 'y', 'a', 'm']",,nr,"['U', 'w', 'a', 'y', 'a', 'm']","[None, None, None, None, None, None]",['Uwayam']
uzayr,,乌扎尔,,"['wu1', 'zha1', 'er3']",,nr,"['wu1', 'zha1', 'er3']","['surname Wu', 'to prick', 'thus']","['wu1', 'zha1', 'er3']"
fari'ah,,法里,,"['fa3', 'li3']",,nr,"['fa3', 'li3']","['France', 'lining']","['fa3', 'li3']"
ahlam,,啊，,,"['a5', '，']",,w,"['a4', '，']","['interjection or grunt of agreement', None]","['a4', '，']"
ahad,,啊,,['a5'],"['modal particle ending sentence, showing affirmation, approval, or consent']",y,['a5'],"['modal particle ending sentence, showing affirmation, approval, or consent']",['a4']
sayid,,赛义德,,"['sai4', 'yi4', 'de2']",,nr,"['sai4', 'yi4', 'de2']","['to compete', 'surname Yi', 'Germany']","['sai4', 'yi4', 'de2']"
waa'il,,waa'il,,"['w', 'a', 'a', ""'"", 'i', 'l']",,nr,"['w', 'a', 'a', ""'"", 'i', 'l']","[None, None, None, None, None, None]","[""waa'il""]"
waahid,,瓦希德,,"['wa3', 'xi1', 'de2']",,nr,"['wa3', 'xi1', 'de2']","['roof tile', 'to hope', 'Germany']","['wa3', 'xi1', 'de2']"
maha,,马哈,,"['ma3', 'ha1']",,nr,"['ma3', 'ha1']","['surname Ma', '(interj.) ha!']","['ma3', 'ha1']"
faris,,法里斯,,"['fa3', 'li3', 'si1']",,nr,"['fa3', 'li3', 'si1']","['France', 'lining', 'Slovakia']","['fa3', 'li3', 'si1']"
rayhaan,,Rayhaan,,"['R', 'a', 'y', 'h', 'a', 'a', 'n']",,nr,"['R', 'a', 'y', 'h', 'a', 'a', 'n']","[None, None, None, None, None, None, None]",['Rayhaan']
wafa,,瓦法,,"['wa3', 'fa3']",,n,"['wa3', 'fa3']","['roof tile', 'France']","['wa3', 'fa3']"
sawsan,,锯山,,"['ju4', 'shan1']",,nr,"['ju4', 'shan1']","['a saw', 'surname Shan']","['ju4', 'shan1']"
afrah,,阿夫,,"['a1', 'fu1']",,nr,"['a1', 'fu1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'husband']","['a1', 'fu1']"
afraa,,阿夫拉,,"['a1', 'fu1', 'la1']",,nr,"['a1', 'fu1', 'la1']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'husband', 'to pull']","['a1', 'fu1', 'la1']"
nafeesah,,Nafeesah,,"['N', 'a', 'f', 'e', 'e', 's', 'a', 'h']",,nr,"['N', 'a', 'f', 'e', 'e', 's', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Nafeesah']
nafeesa,,纳菲萨,,"['na4', 'fei1', 'sa4']",,nr,"['na4', 'fei1', 'sa4']","['surname Na', 'luxuriant (plant growth)', 'Bodhisattva']","['na4', 'fei1', 'sa4']"
nafees,,Nafees,,"['N', 'a', 'f', 'e', 'e', 's']",,nr,"['N', 'a', 'f', 'e', 'e', 's']","[None, None, None, None, None, None]",['Nafees']
afeef,,afeef,,"['a', 'f', 'e', 'e', 'f']",,nr,"['a', 'f', 'e', 'e', 'f']","[None, None, None, None, None]",['afeef']
waheed,,瓦希德,,"['wa3', 'xi1', 'de2']",,nr,"['wa3', 'xi1', 'de2']","['roof tile', 'to hope', 'Germany']","['wa3', 'xi1', 'de2']"
naeem,,Naeem,,"['N', 'a', 'e', 'e', 'm']",,nr,"['N', 'a', 'e', 'e', 'm']","[None, None, None, None, None]",['Naeem']
afaf,,AFAF,,"['A', 'F', 'A', 'F']",,nr,"['a', 'F', 'a', 'F']","['(slang) (Tw) to steal', None, '(slang) (Tw) to steal', None]",['aFaF']
adnan,,阿德南,,"['a1', 'de2', 'nan2']",,f,"['a1', 'de2', 'nan2']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'Germany', 'surname Nan']","['a1', 'de2', 'nan2']"
humam,,Humam,,"['H', 'u', 'm', 'a', 'm']",,nr,"['H', 'u', 'm', 'a', 'm']","[None, None, None, None, None]",['Humam']
reem,,雷姆,,"['lei2', 'mu3']",,nr,"['lei2', 'mu3']","['surname Lei', 'woman who looks after small children']","['lei2', 'mu3']"
huma,,胡纳,,"['hu2', 'na4']",,nr,"['hu2', 'na4']","['surname Hu', 'surname Na']","['hu2', 'na4']"
sarosh,,Sarosh,,"['S', 'a', 'r', 'o', 's', 'h']",,nr,"['S', 'a', 'r', 'o', 's', 'h']","[None, None, None, None, None, None]",['Sarosh']
reema,,Reema,,"['R', 'e', 'e', 'm', 'a']",,nr,"['R', 'e', 'e', 'm', 'a']","[None, None, None, None, None]",['Reema']
aida,,艾达,,"['ai4', 'da2']",,nr,"['ai4', 'da2']","['surname Ai', 'surname Da']","['ai4', 'da2']"
uthmaan,,乌斯曼,,"['wu1', 'si1', 'man4']",,nr,"['wu1', 'si1', 'man4']","['surname Wu', 'Slovakia', 'handsome']","['wu1', 'si1', 'man4']"
umaarah,,乌马拉,,"['wu1', 'ma3', 'la1']",,nr,"['wu1', 'ma3', 'la1']","['surname Wu', 'surname Ma', 'to pull']","['wu1', 'ma3', 'la1']"
madeeha,,Madeeha,,"['M', 'a', 'd', 'e', 'e', 'h', 'a']",,nr,"['M', 'a', 'd', 'e', 'e', 'h', 'a']","[None, None, None, None, None, None, None]",['Madeeha']
lutf,,卢特,,"['lu2', 'te4']",,nr,"['lu2', 'te4']","['surname Lu', 'special']","['lu2', 'te4']"
lutfi,,卢特菲,,"['lu2', 'te4', 'fei1']",,nr,"['lu2', 'te4', 'fei1']","['surname Lu', 'special', 'luxuriant (plant growth)']","['lu2', 'te4', 'fei1']"
umarah,,乌玛拉,,"['wu1', 'ma3', 'la1']",,nr,"['wu1', 'ma3', 'la1']","['surname Wu', 'agate', 'to pull']","['wu1', 'ma3', 'la1']"
akram,,阿克拉姆,,"['a1', 'ke4', 'la1', 'mu3']",,nr,"['a1', 'ke4', 'la1', 'mu3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'to be able to', 'to pull', 'woman who looks after small children']","['a1', 'ke4', 'la1', 'mu3']"
fareed,,票价,,"['piao4', 'jia4']","['ticket price', 'fare', 'admission fee']",n,['piao4 jia4'],['ticket price'],"['piao4', 'jia4']"
umayr,,UMayr,,"['U', 'M', 'a', 'y', 'r']",,nr,"['U', 'M', 'a', 'y', 'r']","[None, None, None, None, None]",['UMayr']
rasheedah,,拉希达,,"['la1', 'xi1', 'da2']",,nr,"['la1', 'xi1', 'da2']","['to pull', 'to hope', 'surname Da']","['la1', 'xi1', 'da2']"
umayyah,,Umayyah,,"['U', 'm', 'a', 'y', 'y', 'a', 'h']",,nr,"['U', 'm', 'a', 'y', 'y', 'a', 'h']","[None, None, None, None, None, None, None]",['Umayyah']
fareedah,,费雷达,,"['fei4', 'lei2', 'da2']",,n,"['fei4', 'lei2 da2']","['surname Fei', 'radar (loanword)']","['fei4', 'lei2', 'da2']"
shafeeq,,Shafeeq,,"['S', 'h', 'a', 'f', 'e', 'e', 'q']",,nr,"['S', 'h', 'a', 'f', 'e', 'e', 'q']","[None, None, None, None, None, None, None]",['Shafeeq']
rashid,,拉希德,,"['la1', 'xi1', 'de2']",,nr,"['la1', 'xi1', 'de2']","['to pull', 'to hope', 'Germany']","['la1', 'xi1', 'de2']"
ma'n,,男人,,"['nan2', 'ren2']","['a man', 'a male', 'men', 'CL:個|个[ge4]']",n,['nan2 ren2'],['a man'],"['nan2', 'ren2']"
hussein,,侯赛因,,"['hou2', 'sai4', 'yin1']","['Husain or Hussein (name)', 'Hussein (c. 626-680), Muslim leader whose martyrdom is commemorated at Ashura', 'Saddam Hussein al Tikriti (1937-2006), dictator of Iraq 1979-2003']",nr,['hou2 sai4 yin1'],['Husain or Hussein (name)'],"['hou2', 'sai4', 'yin1']"
