en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
quon,,quon,,"['q', 'u', 'o', 'n']",,nr,"['q', 'u', 'o', 'n']","[None, None, None, None]",['quon']
lok,,洛,,['luo4'],"['surname Luo', 'old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui)']",nr,['luo4'],['surname Luo'],['luo4']
rou,,鲁,,['lu3'],"['crass', 'stupid', 'rude']",nr,['lu3'],['surname Lu'],['lu3']
mani,,玛尼,,"['ma3', 'ni2']",['Mani (god)'],nr,['ma3 ni2'],['Mani (god)'],"['ma3', 'ni2']"
liwei,,利威,,"['li4', 'wei1']",,nz,"['li4', 'wei1']","['surname Li', 'power']","['li4', 'wei1']"
ruolan,,鲁兰,,"['lu3', 'lan2']",,nr,"['lu3', 'lan2']","['surname Lu', 'surname Lan']","['lu3', 'lan2']"
meiying,,meiying,,"['m', 'e', 'i', 'y', 'i', 'n', 'g']",,nr,"['m', 'e', 'i', 'y', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['meiying']
ruomei,,Ruomei,,"['R', 'u', 'o', 'm', 'e', 'i']",,nr,"['R', 'u', 'o', 'm', 'e', 'i']","[None, None, None, None, None, None]",['Ruomei']
shaiming,,Shaiming,,"['S', 'h', 'a', 'i', 'm', 'i', 'n', 'g']",,nr,"['S', 'h', 'a', 'i', 'm', 'i', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Shaiming']
shan,,山,,['shan1'],"['mountain', 'hill', 'anything that resembles a mountain', 'CL:座[zuo4]', 'bundled straw in which silkworms spin cocoons', 'gable']",n,['shan1'],['surname Shan'],['shan1']
liqiu,,liqiu,,"['l', 'i', 'q', 'i', 'u']",,nr,"['l', 'i', 'q', 'i', 'u']","[None, None, None, None, None]",['liqiu']
shanyuan,,Shanyuan,,"['S', 'h', 'a', 'n', 'y', 'u', 'a', 'n']",,nr,"['S', 'h', 'a', 'n', 'y', 'u', 'a', 'n']","[None, None, None, None, None, None, None, None]",['Shanyuan']
linh,,林,,['lin2'],"['woods', 'forest', 'CL:片[pian4]', 'circle(s) (i.e. specific group of people)', 'a collection (of similar things)']",nr,['lin2'],['surname Lin'],['lin2']
shi,,史,,['shi3'],"['history', 'annals', 'title of an official historian in ancient China']",nr,['shi3'],['surname Shi'],['shi3']
shing,,棚,,['peng2'],"['shed', 'canopy', 'shack']",n,['peng2'],['shed'],['peng2']
shirong,,希恩,,"['xi1', 'en1']",,nr,"['xi1', 'en1']","['to hope', 'favor']","['xi1', 'en1']"
shoi-ming,,shoi-ming,,"['s', 'h', 'o', 'i', '-', 'm', 'i', 'n', 'g']",,nr,"['s', 'h', 'o', 'i', '-', 'm', 'i', 'n', 'g']","[None, None, None, None, None, None, None, None, None]",['shoi-ming']
liling,,衬里,,"['chen4', 'li3']",['lining'],nr,['chen4 li3'],['lining'],"['chen4', 'li3']"
shu,,舒,,['shu1'],"['to stretch', 'to unfold', 'to relax', 'leisurely']",nr,['shu1'],['surname Shu'],['shu1']
lijuan,,lijuan,,"['l', 'i', 'j', 'u', 'a', 'n']",,nr,"['l', 'i', 'j', 'u', 'a', 'n']","[None, None, None, None, None, None]",['lijuan']
shuang,,Shuang,,"['S', 'h', 'u', 'a', 'n', 'g']",,nr,"['S', 'h', 'u', 'a', 'n', 'g']","[None, None, None, None, None, None]",['Shuang']
quan,,Quan,,"['Q', 'u', 'a', 'n']",,nr,"['q', 'u', 'a', 'n']","['cute (loanword)', None, None, None]",['quan']
qiqiang,,Qiqiang,,"['Q', 'i', 'q', 'i', 'a', 'n', 'g']",,nr,"['q', 'i', 'q', 'i', 'a', 'n', 'g']","['cute (loanword)', None, None, None, None, None, None]",['qiqiang']
ah kum,,啊，库姆,,"['a5', '，', 'ku4', 'mu3']",,nr,"['a4', '，', 'ku4 mu3']","['interjection or grunt of agreement', None, 'Qom (holy city in Iran)']","['a4', '，', 'ku4', 'mu3']"
park,,公园,,"['gong1', 'yuan2']","['park (for public recreation)', 'CL:個|个[ge4],座[zuo4]']",n,['gong1 yuan2'],['park (for public recreation)'],"['gong1', 'yuan2']"
mingli,,mingli,,"['m', 'i', 'n', 'g', 'l', 'i']",,nr,"['m', 'i', 'n', 'g', 'l', 'i']","[None, None, None, None, None, None]",['mingli']
mingmei,,mingmei,,"['m', 'i', 'n', 'g', 'm', 'e', 'i']",,nr,"['m', 'i', 'n', 'g', 'm', 'e', 'i']","[None, None, None, None, None, None, None]",['mingmei']
mingxia,,mingxia,,"['m', 'i', 'n', 'g', 'x', 'i', 'a']",,nr,"['m', 'i', 'n', 'g', 'x', 'i', 'a']","[None, None, None, None, None, None, None]",['mingxia']
meixiu,,Meixiu,,"['M', 'e', 'i', 'x', 'i', 'u']",,nr,"['M', 'e', 'i', 'x', 'i', 'u']","[None, None, None, None, None, None]",['Meixiu']
mingyu,,mingyu,,"['m', 'i', 'n', 'g', 'y', 'u']",,nr,"['m', 'i', 'n', 'g', 'y', 'u']","[None, None, None, None, None, None]",['mingyu']
minsheng,,明山,,"['ming2', 'shan1']","['Mingshan district of Benxi city 本溪市, Liaoning']",ns,['ming2 shan1'],[''],"['ming2', 'shan1']"
minzhe,,明尼,,"['ming2', 'ni2']",,nr,"['ming2', 'ni2']","['Ming Dynasty (1368-1644)', 'Buddhist nun']","['ming2', 'ni2']"
ning,,宁,,['ning2'],['variant of 寧|宁[ning2]'],nr,['ning2'],['surname Ning'],['ning2']
ninghong,,宁黄,,"['ning2', 'huang2']",,nr,"['ning2', 'huang2']","['surname Ning', 'surname Huang or Hwang']","['ning2', 'huang2']"
nuo,,诺,,['nuo4'],"['to consent', 'to promise', '(literary) yes!']",nr,['nuo4'],['to consent'],['nuo4']
nuwa,,Nuwa,,"['N', 'u', 'w', 'a']",,nr,"['N', 'u', 'w', 'a']","[None, None, None, None]",['Nuwa']
on,,上,,['shang4'],"['on top', 'upon', 'above', 'upper', 'previous', 'first (of multiple parts)', 'to climb', 'to get onto', 'to go up', 'to attend (class or university)']",v,['shang4'],['on top'],['shang4']
peizhi,,Peizhi,,"['P', 'e', 'i', 'z', 'h', 'i']",,nr,"['p', 'e', 'i', 'z', 'h', 'i']","['(slang) femme (lesbian stereotype)', None, None, None, None, None]",['peizhi']
meifeng,,meifeng,,"['m', 'e', 'i', 'f', 'e', 'n', 'g']",,nr,"['m', 'e', 'i', 'f', 'e', 'n', 'g']","[None, None, None, None, None, None, None]",['meifeng']
meirong,,天隆,,"['tian1', 'long2']",,nz,"['tian1', 'long2']","['day', 'surname Long']","['tian1', 'long2']"
peng,,彭,,['peng2'],['surname Peng'],nr,['peng2'],['surname Peng'],['peng2']
shunyuan,,Shunyuan,,"['S', 'h', 'u', 'n', 'y', 'u', 'a', 'n']",,nr,"['S', 'h', 'u', 'n', 'y', 'u', 'a', 'n']","[None, None, None, None, None, None, None, None]",['Shunyuan']
qi,,气,,['qi4'],"['gas', 'air', 'smell', 'weather', 'to make angry', 'to annoy', 'to get angry', 'vital energy', 'qi']",n,['qi4'],['gas'],['qi4']
qianfan,,Qianfan,,"['Q', 'i', 'a', 'n', 'f', 'a', 'n']",,nr,"['q', 'i', 'a', 'n', 'f', 'a', 'n']","['cute (loanword)', None, None, None, None, None, None]",['qianfan']
qiang,,Qiang,,"['Q', 'i', 'a', 'n', 'g']",,nr,"['q', 'i', 'a', 'n', 'g']","['cute (loanword)', None, None, None, None]",['qiang']
meihui,,meihui,,"['m', 'e', 'i', 'h', 'u', 'i']",,nr,"['m', 'e', 'i', 'h', 'u', 'i']","[None, None, None, None, None, None]",['meihui']
qiao,,Qiao,,"['Q', 'i', 'a', 'o']",,nr,"['q', 'i', 'a', 'o']","['cute (loanword)', None, None, None]",['qiao']
qiaolian,,Qiaolian,,"['Q', 'i', 'a', 'o', 'l', 'i', 'a', 'n']",,nr,"['q', 'i', 'a', 'o', 'l', 'i', 'a', 'n']","['cute (loanword)', None, None, None, None, None, None, None]",['qiaolian']
qingling,,青,,['qing1'],"[""nature's color"", 'green or blue', 'greenish black', 'youth', 'young (of people)']",a,['qing1'],"[""nature's color""]",['qing1']
qingshan,,清尚,,"['qing1', 'shang4']",,nr,"['qing1', 'shang4']","[""Qing or Ch'ing dynasty of imperial China (1644-1911)"", 'surname Shang']","['qing1', 'shang4']"
qingzhao,,金佐,,"['jin1', 'zuo3']",,nr,"['jin1', 'zuo3']","['surname Jin', 'to assist']","['jin1', 'zuo3']"
shun,,回,,['hui2'],['variant of 迴|回[hui2]'],v,['hui2'],['to circle'],['hui2']
ah cy,,啊,,['a5'],"['modal particle ending sentence, showing affirmation, approval, or consent']",y,['a5'],"['modal particle ending sentence, showing affirmation, approval, or consent']",['a4']
siyu,,Siyu,,"['S', 'i', 'y', 'u']",,nr,"['S', 'i', 'y', 'u']","[None, None, None, None]",['Siyu']
song,,歌曲,,"['ge1', 'qu1']",['song'],n,['ge1 qu3'],['song'],"['ge1', 'qu3']"
yue,,yue,,"['y', 'u', 'e']",,nr,"['y', 'u', 'e']","[None, None, None]",['yue']
yuanjun,,Yuanjun,,"['Y', 'u', 'a', 'n', 'j', 'u', 'n']",,nr,"['Y', 'u', 'a', 'n', 'j', 'u', 'n']","[None, None, None, None, None, None, None]",['Yuanjun']
yuan,,元,,['yuan2'],"['currency unit (esp. Chinese yuan)', 'first', 'original', 'primary', 'fundamental', 'constituent', 'part', 'era (of a reign)', '(math.) argument', 'variable', '(Tw) (geology) eon']",t,['yuan2'],['surname Yuan'],['yuan2']
yu,,YU,,"['Y', 'U']",,nr,"['Y', 'U']","[None, None]",['YU']
you,,你,,['ni3'],"['you (informal, as opposed to courteous 您[nin2])']",r,['ni3'],[''],['ni3']
yongrui,,Yongrui,,"['Y', 'o', 'n', 'g', 'r', 'u', 'i']",,nr,"['Y', 'o', 'n', 'g', 'r', 'u', 'i']","[None, None, None, None, None, None, None]",['Yongrui']
yongnian,,杨尼安,,"['yang2', 'ni2', 'an1']",,nr,"['yang2', 'ni2', 'an1']","['surname Yang', 'Buddhist nun', 'surname An']","['yang2', 'ni2', 'an1']"
yong,,Yong,,"['Y', 'o', 'n', 'g']",,nr,"['Y', 'o', 'n', 'g']","[None, None, None, None]",['Yong']
yingtai,,yingtai,,"['y', 'i', 'n', 'g', 't', 'a', 'i']",,nr,"['y', 'i', 'n', 'g', 't', 'a', 'i']","[None, None, None, None, None, None, None]",['yingtai']
yingjie,,yingjie,,"['y', 'i', 'n', 'g', 'j', 'i', 'e']",,nr,"['y', 'i', 'n', 'g', 'j', 'i', 'e']","[None, None, None, None, None, None, None]",['yingjie']
ying,,ying,,"['y', 'i', 'n', 'g']",,nr,"['y', 'i', 'n', 'g']","[None, None, None, None]",['ying']
yi,,义,,['yi4'],"['justice', 'righteousness', 'meaning', 'foster (father etc)', 'adopted', 'artificial (tooth, limb etc)', 'relationship', 'friendship']",n,['yi4'],['surname Yi'],['yi4']
yenay,,Yenay,,"['Y', 'e', 'n', 'a', 'y']",,nr,"['Y', 'e', 'n', 'a', 'y']","[None, None, None, None, None]",['Yenay']
ye,,是的,,"['shi4', 'de5']","[""yes, that's right"", 'variant of 似的[shi4 de5]']",l,['shi4 de5'],"[""yes, that's right""]","['shi4', 'de5']"
yaozu,,Yaozu,,"['Y', 'a', 'o', 'z', 'u']",,nr,"['Y', 'a', 'o', 'z', 'u']","[None, None, None, None, None]",['Yaozu']
yuming,,YUMING,,"['Y', 'U', 'M', 'I', 'N', 'G']",,nr,"['Y', 'U', 'M', 'I', 'N', 'G']","[None, None, None, None, None, None]",['YUMING']
yunru,,Yunru,,"['Y', 'u', 'n', 'r', 'u']",,nr,"['Y', 'u', 'n', 'r', 'u']","[None, None, None, None, None]",['Yunru']
yunxu,,Yunxu,,"['Y', 'u', 'n', 'x', 'u']",,nr,"['Y', 'u', 'n', 'x', 'u']","[None, None, None, None, None]",['Yunxu']
zhong,,钟,,['zhong1'],"['clock', ""o'clock"", 'time as measured in hours and minutes', 'bell', 'CL:架[jia4],座[zuo4]']",nr,['zhong1'],['surname Zhong'],['zhong1']
zongmeng,,Zongmeng,,"['Z', 'o', 'n', 'g', 'm', 'e', 'n', 'g']",,nr,"['Z', 'o', 'n', 'g', 'm', 'e', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Zongmeng']
zixin,,Zixin,,"['Z', 'i', 'x', 'i', 'n']",,nr,"['Z', 'i', 'x', 'i', 'n']","[None, None, None, None, None]",['Zixin']
zihao,,Zihao,,"['Z', 'i', 'h', 'a', 'o']",,nr,"['Z', 'i', 'h', 'a', 'o']","[None, None, None, None, None]",['Zihao']
zian,,Zian,,"['Z', 'i', 'a', 'n']",,nr,"['Z', 'i', 'a', 'n']","[None, None, None, None]",['Zian']
zi,,Zi,,"['Z', 'i']",,nr,"['Z', 'i']","[None, None]",['Zi']
zhu,,朱,,['zhu1'],"['cinnabar', 'see 硃砂|朱砂[zhu1 sha1]']",nr,['zhu1'],['surname Zhu'],['zhu1']
zhiqiang,,Zhiqiang,,"['Z', 'h', 'i', 'q', 'i', 'a', 'n', 'g']",,nr,"['Z', 'h', 'i', 'q', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Zhiqiang']
zedong,,Zedong,,"['Z', 'e', 'd', 'o', 'n', 'g']",,nr,"['Z', 'e', 'd', 'o', 'n', 'g']","[None, None, None, None, None, None]",['Zedong']
zhilan,,Zhilan,,"['Z', 'h', 'i', 'l', 'a', 'n']",,nr,"['Z', 'h', 'i', 'l', 'a', 'n']","[None, None, None, None, None, None]",['Zhilan']
zhensheng,,zhensheng,,"['z', 'h', 'e', 'n', 's', 'h', 'e', 'n', 'g']",,nr,"['z', 'h', 'e', 'n', 's', 'h', 'e', 'n', 'g']","[None, None, None, None, None, None, None, None, None]",['zhensheng']
zhengsheng,,Zhengsheng,,"['Z', 'h', 'e', 'n', 'g', 's', 'h', 'e', 'n', 'g']",,nr,"['Z', 'h', 'e', 'n', 'g', 's', 'h', 'e', 'n', 'g']","[None, None, None, None, None, None, None, None, None, None]",['Zhengsheng']
zhaohui,,Zhaohui,,"['Z', 'h', 'a', 'o', 'h', 'u', 'i']",,nr,"['Z', 'h', 'a', 'o', 'h', 'u', 'i']","[None, None, None, None, None, None, None]",['Zhaohui']
zenguang,,Zenguang,,"['Z', 'e', 'n', 'g', 'u', 'a', 'n', 'g']",,nr,"['Z', 'e', 'n', 'g', 'u', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Zenguang']
zengguang,,Zengguang,,"['Z', 'e', 'n', 'g', 'g', 'u', 'a', 'n', 'g']",,nr,"['Z', 'e', 'n', 'g', 'g', 'u', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None, None]",['Zengguang']
yaochuan,,Yaochuan,,"['Y', 'a', 'o', 'c', 'h', 'u', 'a', 'n']",,nr,"['Y', 'a', 'o', 'c', 'h', 'u', 'a', 'n']","[None, None, None, None, None, None, None, None]",['Yaochuan']
yanyu,,Yanyu,,"['Y', 'a', 'n', 'y', 'u']",,nr,"['Y', 'a', 'n', 'y', 'u']","[None, None, None, None, None]",['Yanyu']
yang,,杨,,['yang2'],['poplar'],nr,['yang2'],['surname Yang'],['yang2']
ushi,,Ushi,,"['U', 's', 'h', 'i']",,nr,"['U', 's', 'h', 'i']","[None, None, None, None]",['Ushi']
wen,,温,,['wen1'],"['warm', 'lukewarm', 'temperature', 'to warm up', 'mild', 'soft', 'tender', 'to review (a lesson etc)', 'fever (TCM)', 'old variant of 瘟[wen1]']",nr,['wen1'],['surname Wen'],['wen1']
weiyuan,,Weiyuan,,"['W', 'e', 'i', 'y', 'u', 'a', 'n']",,nr,"['W', 'e', 'i', 'y', 'u', 'a', 'n']","[None, None, None, None, None, None, None]",['Weiyuan']
weisheng,,weisheng,,"['w', 'e', 'i', 's', 'h', 'e', 'n', 'g']",,nr,"['w', 'e', 'i', 's', 'h', 'e', 'n', 'g']","[None, None, None, None, None, None, None, None]",['weisheng']
weimin,,魏敏,,"['wei4', 'min3']",,nr,"['wei4', 'min3']","['surname Wei', 'quick']","['wei4', 'min3']"
weici,,Weici,,"['W', 'e', 'i', 'c', 'i']",,nr,"['W', 'e', 'i', 'c', 'i']","[None, None, None, None, None]",['Weici']
wang,,王,,['wang2'],"['to rule', 'to reign over']",nr,['wang2'],['surname Wang'],['wang2']
tung,,钨,,['wu4'],['tungsten (chemistry)'],nr,['wu1'],['tungsten (chemistry)'],['wu1']
wenqian,,Wenqian,,"['W', 'e', 'n', 'q', 'i', 'a', 'n']",,nr,"['W', 'e', 'n', 'q', 'i', 'a', 'n']","[None, None, None, None, None, None, None]",['Wenqian']
tu,,tu,,"['t', 'u']",,nr,"['t', 'u']","[None, None]",['tu']
lihua,,lihua,,"['l', 'i', 'h', 'u', 'a']",,nr,"['l', 'i', 'h', 'u', 'a']","[None, None, None, None, None]",['lihua']
ting,,丁,,['ding1'],"['fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]', 'fourth in order', 'letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc', 'ancient Chinese compass point: 195°', 'butyl', 'cubes (of food)']",nr,['ding1'],['surname Ding'],['ding1']
tengfei,,tengfei,,"['t', 'e', 'n', 'g', 'f', 'e', 'i']",,nr,"['t', 'e', 'n', 'g', 'f', 'e', 'i']","[None, None, None, None, None, None, None]",['tengfei']
taiwan,,台湾,,"['tai2', 'wan1']",['Taiwan'],ns,['tai2 wan1'],['Taiwan'],"['tai2', 'wan1']"
suyin,,Suyin,,"['S', 'u', 'y', 'i', 'n']",,nr,"['S', 'u', 'y', 'i', 'n']","[None, None, None, None, None]",['Suyin']
wencheng,,温滕,,"['wen1', 'teng2']",,nr,"['wen1', 'teng2']","['surname Wen', 'vassal state of Zhou in Shandong']","['wen1', 'teng2']"
wing,,翅膀,,"['chi4', 'bang3']","['wing', 'CL:個|个[ge4],對|对[dui4]']",n,['chi4 bang3'],['wing'],"['chi4', 'bang3']"
yan,,YAN,,"['Y', 'A', 'N']",,nr,"['Y', 'a', 'N']","[None, '(slang) (Tw) to steal', None]",['YaN']
xiaozhi,,小,,['xiao3'],"['small', 'tiny', 'few', 'young']",a,['xiao3'],['small'],['xiao3']
xueyou,,Xueyou,,"['X', 'u', 'e', 'y', 'o', 'u']",,nr,"['X', 'u', 'e', 'y', 'o', 'u']","[None, None, None, None, None, None]",['Xueyou']
xiurong,,xiurong,,"['x', 'i', 'u', 'r', 'o', 'n', 'g']",,nr,"['x', 'i', 'u', 'r', 'o', 'n', 'g']","[None, None, None, None, None, None, None]",['xiurong']
xiulan,,Xiulan,,"['X', 'i', 'u', 'l', 'a', 'n']",,nr,"['X', 'i', 'u', 'l', 'a', 'n']","[None, None, None, None, None, None]",['Xiulan']
xing,,XING,,"['X', 'I', 'N', 'G']",,nr,"['X', 'I', 'N', 'G']","[None, None, None, None]",['XING']
xin,,XIN,,"['X', 'I', 'N']",,nr,"['X', 'I', 'N']","[None, None, None]",['XIN']
xiasheng,,Xiasheng,,"['X', 'i', 'a', 's', 'h', 'e', 'n', 'g']",,nr,"['X', 'i', 'a', 's', 'h', 'e', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Xiasheng']
xiaotong,,小,,['xiao3'],"['small', 'tiny', 'few', 'young']",a,['xiao3'],['small'],['xiao3']
wuzhou,,武湖,,"['wu3', 'hu2']",,ns,"['wu3', 'hu2']","['surname Wu', 'lake']","['wu3', 'hu2']"
xiaoling,,小）,,"['xiao3', '）']",,w,"['xiao3', '）']","['small', None]","['xiao3', '）']"
xiaolian,,小米,,"['xiao3', 'mi3']",['millet'],nr,['xiao3 mi3'],"['Xiaomi, Chinese electronics company founded in 2010']","['xiao3', 'mi3']"
xiaojing,,小米,,"['xiao3', 'mi3']",['millet'],nr,['xiao3 mi3'],"['Xiaomi, Chinese electronics company founded in 2010']","['xiao3', 'mi3']"
xiaohui,,小岛,,"['xiao3', 'dao3']",['isle'],nr,['xiao3 dao3'],['Kojima (Japanese surname and place name)'],"['xiao3', 'dao3']"
xiaofan,,小米,,"['xiao3', 'mi3']",['millet'],nr,['xiao3 mi3'],"['Xiaomi, Chinese electronics company founded in 2010']","['xiao3', 'mi3']"
xiaobo,,小罗,,"['xiao3', 'luo1']",,nr,"['xiao3', 'luo2']","['small', 'surname Luo']","['xiao3', 'luo2']"
tingzhe,,Tingzhe,,"['T', 'i', 'n', 'g', 'z', 'h', 'e']",,nr,"['t', 'i', 'n', 'g', 'z', 'h', 'e']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None]",['tingzhe']
zongying,,Zongying,,"['Z', 'o', 'n', 'g', 'y', 'i', 'n', 'g']",,nr,"['Z', 'o', 'n', 'g', 'y', 'i', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Zongying']
geming,,宝石,,"['bao3', 'shi2']","['precious stone', 'gem', 'CL:枚[mei2],顆|颗[ke1]']",n,['bao3 shi2'],['precious stone'],"['bao3', 'shi2']"
gui,,GUI,,"['G', 'U', 'I']",,nr,"['G', 'U', 'I']","[None, None, None]",['GUI']
guoliang,,鸟根,,"['niao3', 'gen1']",,n,"['niao3', 'gen1']","['bird', 'root']","['niao3', 'gen1']"
chonglin,,宗林,,"['zong1', 'lin2']",,nr,"['zong1', 'lin2']","['surname Zong', 'surname Lin']","['zong1', 'lin2']"
guotin,,噪声,,"['zao4', 'sheng1']",['noise'],n,['zao4 sheng1'],['noise'],"['zao4', 'sheng1']"
chongkun,,Chongkun,,"['C', 'h', 'o', 'n', 'g', 'k', 'u', 'n']",,nr,"['C', 'h', 'o', 'n', 'g', 'k', 'u', 'n']","[None, None, None, None, None, None, None, None]",['Chongkun']
guowei,,Guowei,,"['G', 'u', 'o', 'w', 'e', 'i']",,nr,"['G', 'u', 'o', 'w', 'e', 'i']","[None, None, None, None, None, None]",['Guowei']
guozhi,,古兹,,"['gu3', 'zi1']",,nr,"['gu3', 'zi1']","['surname Gu', 'now']","['gu3', 'zi1']"
chongan,,宗甘,,"['zong1', 'gan1']",,nr,"['zong1', 'gan1']","['surname Zong', 'surname Gan']","['zong1', 'gan1']"
hai,,海,,['hai3'],"['ocean', 'sea', 'CL:個|个[ge4],片[pian4]', 'great number of people or things', '(dialect) numerous']",n,['hai3'],['surname Hai'],['hai3']
he,,他,,['ta1'],"['he or him', '(used for either sex when the sex is unknown or unimportant)', ""(used before sb's name for emphasis)"", '(used as a meaningless mock object)', 'other', 'another']",r,['ta1'],['he or him'],['ta1']
china,,中国,,"['zhong1', 'guo2']",['China'],ns,['zhong1 guo2'],['China'],"['zhong1', 'guo2']"
